2025-06-08 19:28:55,376 | INFO     | src.experiments | [no_weather] Start experiment
2025-06-08 19:28:55,490 | INFO     | src.experiments | [no_weather] No past covariates used
2025-06-08 19:29:55,571 | INFO     | run_experiments | Starting Ablation experiments
2025-06-08 19:29:55,583 | INFO     | run_experiments | === Begin experiment: no_weather ===
2025-06-08 19:29:55,583 | INFO     | src.experiments | [no_weather] Start experiment
2025-06-08 19:29:55,677 | INFO     | src.experiments | [no_weather] No past covariates used
2025-06-08 19:30:10,614 | INFO     | run_experiments | Starting Ablation experiments
2025-06-08 19:30:10,627 | INFO     | run_experiments | === Begin experiment: no_weather ===
2025-06-08 19:30:10,628 | INFO     | src.experiments | [no_weather] Start experiment
2025-06-08 19:30:10,734 | INFO     | src.experiments | [no_weather] No past covariates used
2025-06-08 19:30:10,737 | INFO     | src.experiments | [no_weather] Running GridSearch
2025-06-08 19:32:50,189 | INFO     | run_experiments | Starting Ablation experiments
2025-06-08 19:32:50,202 | INFO     | run_experiments | === Begin experiment: no_weather ===
2025-06-08 19:32:50,203 | INFO     | src.experiments | [no_weather] Start experiment
2025-06-08 19:32:50,300 | INFO     | src.experiments | [no_weather] No past covariates used
2025-06-08 19:32:50,303 | INFO     | src.experiments | [no_weather] Running GridSearch
2025-06-08 19:37:04,201 | INFO     | run_experiments | Starting Ablation experiments
2025-06-08 19:37:04,214 | INFO     | run_experiments | === Begin experiment: no_weather ===
2025-06-08 19:37:04,214 | INFO     | src.experiments | [no_weather] Start experiment
2025-06-08 19:37:04,311 | INFO     | src.experiments | [no_weather] No past covariates used
2025-06-08 19:37:04,315 | INFO     | src.experiments | [no_weather] Running GridSearch
2025-06-08 19:38:59,956 | INFO     | run_experiments | Starting Ablation experiments
2025-06-08 19:38:59,969 | INFO     | run_experiments | === Begin experiment: no_weather ===
2025-06-08 19:38:59,969 | INFO     | src.experiments | [no_weather] Start experiment
2025-06-08 19:39:00,085 | INFO     | src.experiments | [no_weather] No past covariates used
2025-06-08 19:39:00,088 | INFO     | src.experiments | [no_weather] Running GridSearch
2025-06-08 19:41:46,622 | INFO     | run_experiments | Starting Ablation experiments
2025-06-08 19:41:46,636 | INFO     | run_experiments | === Begin experiment: no_weather ===
2025-06-08 19:41:46,636 | INFO     | src.experiments | [no_weather] Start experiment
2025-06-08 19:41:46,735 | INFO     | src.experiments | [no_weather] No past covariates used
2025-06-08 19:41:46,738 | INFO     | src.experiments | [no_weather] Running GridSearch
2025-06-08 19:43:27,295 | INFO     | run_experiments | Starting Ablation experiments
2025-06-08 19:43:27,310 | INFO     | run_experiments | === Begin experiment: no_weather ===
2025-06-08 19:43:27,310 | INFO     | src.experiments | [no_weather] Start experiment
2025-06-08 19:43:27,409 | INFO     | src.experiments | [no_weather] No past covariates used
2025-06-08 19:43:27,412 | INFO     | src.experiments | [no_weather] Running GridSearch
2025-06-08 19:44:29,275 | INFO     | run_experiments | Starting Ablation experiments
2025-06-08 19:44:29,286 | INFO     | run_experiments | === Begin experiment: no_weather ===
2025-06-08 19:44:29,286 | INFO     | src.experiments | [no_weather] Start experiment
2025-06-08 19:44:29,375 | INFO     | src.experiments | [no_weather] No past covariates used
